,stars,body,name,title
124,4.0 out of 5 stars,I bought this phone by exchanging my old OnePlus 6T. Got only 9250/- for exchange which felt bad. The only thing I saw is 5GDisplay: 5/5 looks soo cool and touch is also very smoothBattery: I'm charging it only for once in a day with random average usage. With one full charge I'm able to use for more than a day. Warp charge is also good 5/5 for battery bbackupCharger: The main drawback on OnePlus is the charger size. It is difficult to use as portable charger because of it's big sizze. I wish OnePlus charger size will be shrink some day. 2/5 for charger sizeProcesser: Not soo good. Even deleting pics also takes few sec of time. After using OnePlus 6T I felt this as drawback. 3/5Gaming: haven't played bigger games yet 8 ball pool runs good.Camera: Selfie camera is not good. It is only single 16mp camera. 3/5Rear cam: Not that great. Previous OnePlus nord which has 48mp cam clicks better images than this. 3/5Finger print sensor: Faster than my old OnePlus 6TPhone is very light weight and slim to carry5/5 for mobility.Over all it's a good phone for this price in this brand,vinil,Best budget OnePlus phone
125,5.0 out of 5 stars,I loved it 😍❤️😍.... Just awesome 👌😊👍,Wiki,❤️❤️❤️
126,5.0 out of 5 stars,Best mobile under price range,Akash,Best mobile under price range
127,5.0 out of 5 stars,The phone is great,Aditya Seram,Great phone
128,3.0 out of 5 stars,I bought this with great expectations.Felt following below didn't meet my needs.Front camera is very poorCharging time seems to be high than promisedI was using one plus 6 before this so bit disappointedAmazon delivery was great,Joseph Philip,Not very impressive
129,1.0 out of 5 stars,"1. The phone operations are unstable2. Though 12GB of RAM version, the calling app is too much slow. The call gets started, still the calling app is rendering call options3. It suddenly minimizes the active on screen apps. Few sensitive apps asks you to relogin after minimise. This is weird experience4. Phone's light sensor for auto brightness is worst. It keeps changing brightness in every second5. Wifi doesn't work in between. Speedtest app shows 150 Mbps speed and still the apps and pages keeps loading and loading6. One plus has cheated as there is no refund option.My honest opinion is, please do not buy this phone at all. This is third class phone by one plus.",~Vinod,This is worst phone by One Plus
130,4.0 out of 5 stars,"So I pre ordered the phone on 11th and got it on 17th June, the delivery was great from both the amazon and their delivery partner. Now lets talk about the phone1.The display- The display is mind blowing, the best under this segment, I know it does not have 120hz display but that 90hz display with oxygen os gives an awesome experience and if you use it once i am sure that you are gonna love it. For display I will give it 5/52.Built quality- Built quality is great, even though its not metal or glass, it feels very premium. Its very lightweight and handy which is really help full. For built quality i will give it 4/5.3.OS- Oxygen OS is the best operating system that i have ever used in my life. I have used miui then one ui but after using Oxygen os i feel like those are just crap. The experience you will get by using oxygen os cant be described in words. The main reason behind buying this phone was oxygen os. For os i will give it 10/5 [5 marks extra for bloat free and add free os 😅😅😆😆]4.Camera- For me camera was a bit disappointing , even having so great lenses it wasn't able to stand on my expectations but i know oneplus will fix it with future updates so i don't have to worry about it as i know they really fix it. I have installed 2 updates till now and i have seen that the camera is getting better but not the best, so waiting for more future updates to make the camera best. For camera i will give it 3.5/5.5.Processor- It gets the snapdragon 750g processor which is really great for moderate as well as a little heavy usage. I played BGMI on it for continuously for 2 hours but the phone did not overheated, the heat was negligible and i was shocked to see it, and for moderate its the best. For processor i will give it 5/5In the end i will just say that Oneplus Nord CE is a great phone and if you are looking for a phone, you can blindly go for it. Overall i will give this phone 4.5/5.",Spandan das,A great phone but need updates to make it the best
131,5.0 out of 5 stars,Lovely,arvind Kumar meena,Mast
132,5.0 out of 5 stars,Awesome,Nagnedra Kumar Balla,nice product
133,1.0 out of 5 stars,"Dont buy :-No Alert Slider (so called core edition (CE) dont have Alert Slider which is there from 1+1, so u cannot make your phone into silent, vibrate mode when u r in meetings, board rooms, conference etc-No sterio speakers-No Notification lights-smallest red cable in length (charge cable)- poor camera ( both front and rare camera takes time to save a photo after clicking it )-No Natural Photos like other 1+ league phones .I switched from 1+5t to Nord CE 5G .From thinner & lighter phone to a heavier n thicker phone (i regret this purchase 1+5T was way better than NORD CE)",vamshi krishna veeravelly,****Do No Switch or Upgrade to 1+ Nord CE 5G****
134,1.0 out of 5 stars,1) camera quality - Average2) battery life- below average3) 30 min 70% charging claim - Totally Failed4) Wrost Gallery - photos opens after 3-4 minutes and deleting time of one photo is taking time equivalent to whole gallery deleting in other smart phone5) Facing Hanging issue6) back side phone is by low quality plastic7) speaker not as much good quality as oneplus known for.8) processing rate not that much smooth9) only one 5G band support10) overall Not that much Good phone as oneplus known as premium brand. mysuggestions Don't go for this phone if buying because the experience one plus.this not like a oneplus product.,Anil sinwar,23k-25k is not worth for this phone
135,5.0 out of 5 stars,"Bought this after lot of deliberation. I have used OP 2 and OP 5T as my primary devices over the past 5 yrs with breif stint with iphone 6 and 8 in between until I handed them over to my spouse and got back to OP.Was in the market again for a phone when my OP5T went out of support and corporate apps stopped working on the same. All the online reading painted a very -ve picture of OP from 2020 and beyond. As an early adopter of OP I too felt that the flagship phones aren't as accessible as they used to be. The OP9R seemed as a good option, but then again when I did the compared the cost to performance difference of the OP9R and OP Nord CE, I felt CE was good enough to do my daily tasks.I am not a gamer, most of my use revolves around mails, conference calls, social media, multi tasking. Having used the phone for few days I am happy with this purchase and it has been working very well for my daily use case.",IP,Dependable Daily Driver
136,4.0 out of 5 stars,"I received my One Plus Nord CE 2 days after it was launched. I am writing this review after using it for about a week.Plus points:1. I like the screen size of 6.43 inch size. In fact that is the primary reason for my purchase decision. I somehow find screen size of over 6.5 inch to be too big for regular phone usage2. Very good battery life. Super fast charging.3. Light weight and can be handled with one hand. The controls are carefully placed for single hand usage.4. Excellent UI and Oxygen OS is awesome.5. Manufactured and marketed in India.Negatives:1. The phone doesn't feel premium - probably, you can't expect a premium phone for this price range",Reader,Good phone though I wouldn't agree with flagship killer
137,1.0 out of 5 stars,"From day1 this start heating, charger is taking 3 hours to complete battery, slow on dialing the number. Can't expect this type of issue in one plus.Want to return but no option, the are replacing the phone. Let see next phone",Gorav Kumar,Hearing and charging issue
138,5.0 out of 5 stars,"Design : 9/10Phone feels very light in hand. Buid Quality is OK. 3.5mm jack is back.Display : 8/10Display is very smooth but it has less brightness when compared to others. Screen has dust particles when i opened the box. In display finger print works fine.Camera : 8/10Camera quality is good but taking pics with ultra HDR is preferred. Sometimes, cannot find the difference between portrait and normal shorts.Performance ( battery & software ) : 8/10Overall very nice performance by the battery and software. Good battery life, WRAP charging is excellent and Oxygen OS is super. Till now, did not find any lags in the OS and works nice. Comes with SD 750G and supports only one 5G band i.e N78. N78 is the only major 5G band that matters.Verdict : I can say that is the nice phone under 25K but not a flagship mobile.Hit like if u like my review :)",Pradeep lolla,OnePlus Nord CE : Good Phone Under 25K
139,5.0 out of 5 stars,It's awesome Mobile really i love one plus future & Everything is running so fast camera is awesome all futures are greet,Devender,Really One Plus is never settle
140,3.0 out of 5 stars,"Don't go by the name is what I learnt from this phone.1. Phone heats up during call.2. Battery drains fast unless you switch to 60 refresh.3. Average build quality.4. Pethatic back cover from OnePlus.5. Dull speakers.Nothing great, you get the same output as15 k device.Don't waste hard earned 💰",Sathia,Just an average phone
141,5.0 out of 5 stars,This is the best smartphone you can get at this price. Really the hardware and software is wonderful.Pros:-90 hz is really smoothScreen colours are too goodSlim and fits perfectly in one hand operationFingerprint and face unlock is also Preety fastCamera quality worth the priceCons:-Battery lasts one and half day at normal use and half day at rigorous use but warp charge fills the space.No memory card slotAnd single 5G band,kanhaiya n chhappaniya,Worth the price
142,4.0 out of 5 stars,Good phone but price is lillte high. Should be priced around 20k,A.Paul,Good phone but price is lillte high
143,1.0 out of 5 stars,"Worst mobile I think a Xiaomi in 10k segment is better than this OnePlus Nord CE. daily I have to go through different problems in this device no proper updates and the great Amazon dosent have a return policy even if a newly purchased mobile is faulty 😂 great.. my money 27k is wasted pls don't waste yours..1. Camera dosent scan properly2. Quick launch faulty3. Apps crashing4. No notification from some apps5. Lagging using features like deleting photos, finger print, switching apps amny more you will come to know while using..when there's no return policy for a new moblie you have paid 28k and you have to use it it's embarrassing..",Nuthan Raj,Amazon & OnePlus both have become pathetic in their own t&c.
144,4.0 out of 5 stars,"Pros:-Display which is super smooth and colours-Powerful processor which make every day works ultra smooth and lag free usage even in heavy work loads.-battery life is Excellent.. easily getting a day with 20 Percent still left.-build quality is super and solid even though it is made out of plastic and super light Weight, sometimes I felt like I have lost it from my pocket can't felt it's presence.-day light pictures are decent for the price range....samples are provided above.-and last but not the least and the only reason I have considered one plus in this range even though many options are available is UI man UI... Oxygen OS...I love stock experience from the beginning.-3.5mm jack is back yayyyy.....but already so much used to bluetooth.-in display fingerprint print reader is so fast and reliable every time.Cons:-no alert slider which is not an issue to me as I don't get used to it from before. But it would be great if they have provided it.-no gorilla glass protection..they did this on purpose I think to cut off the weight... only 170gms..I can't feel that in my pocket lol.-night pics are not that good.. getting blurry images.hope one plus would improve that with future updates. I think pros are more than cons...so go for it...if u are stock lover like me...",Poojith reddy.T,Worth buying it in every way
145,1.0 out of 5 stars,"Your browser does not support HTML5 video.


   Pros:*Light weight and slim easy to use one hand too*screen quality is good*Thats itCons:* Do not charge phone 70% in 30min its only 30-35% in half hour.* Its camera that apply kind of auto balancing or something even when you click without any filter or that beautify thing.* Its start hanging when using fingerprint sensor and takes time to open than face id.",Sk,Nohting good in this phone
146,1.0 out of 5 stars,"Phone has hang issues while at call, volume up an down not working while using wts app. I am a loyal one plus user from last 6 yrs but I think I made a mistake buying this low end mobile. One plus team pls help to refund my money as I will buy higher end one plus mobile than this cheap hanging phone. Hope to hear from you at the earliest and resolve my issue",Amazon Customer,"Phone has hang issues while at call, volume up an down not working while using wts app. Think &buy"
147,4.0 out of 5 stars,"Pros : 90 hz amoled screen , Oxygen OS clean and simple, Fast charging, light weight and regular software updatesCons: Not for gamers, no alert slider , plastic bodyIf you are an occasional gamer then u won't have any problem with the deviceI am switching from poco X3 and I am loving it",shivakumar,"Jack of all trades, master of none"
148,3.0 out of 5 stars,OnePlus Nord ce Not worth for that priceAny want to buy this please don't buy this you can go with the OnePlus Nord,Surya.K,Not worth
149,5.0 out of 5 stars,Rate is bit high comparing other mobiles but the performance is good camera is average worth for price mostly mid range gaming mobile,shreyas,Premium mobile under 25k
150,5.0 out of 5 stars,"Bought the 6GB/128GB the only VFM variant for 21.5K (1K HDFC+500 Amazon pay cashback).Hope one plus sell more of this variant. Whilst they keep pushing for the 8GB/128GB (2k extra for 2GB RAM). Same happened with Nord, but 64GB ROM was a big turn off.Pros:- Display/ AMOLED screen- Battery backup- Oxygen OS (Still their USP)- Headphone Jack.Cons:- Camera (Not to my liking)Pictures appear dull after clicking.- No OnePlus alert slider",Uma Maheshwar Reddy,"6GB/128GB for 21.5K, most VFM"
151,4.0 out of 5 stars,Pros1 Performance is good2 Battery lifeConsalert slider is missingBuild quality is not up to the markCamera quality has to be improved,Praveenjr,Good phone. Build quality needs to be improved
152,5.0 out of 5 stars,"Its my first android after almost a decade of iphones. Comparatively the speed and refredh rate is fine. Processing of apps or game I'd wuite good with 8 gb variant. Battery lasts almost 2 days . Charges in 30 minutes . Volumes is excellent, stylish and sleek . Camera is outstanding in this range when compared to Samsung. I will give it 8/10 for a mid user ,10/10 for a light user and 7/10 for heavy user.",Global buyer,Fantastically smart
153,1.0 out of 5 stars,"Your browser does not support HTML5 video.


   This is my first OnePlus and really disappointed1. Getting frequent crashes in camera and gallery app2. Getting Google stopped working msg evry 2 secondsSerious failure for OnePlus",Sathya_TN,Failure model from OnePlus
154,5.0 out of 5 stars,First thing is the phone is light and touch response is too good. If you are iphone user then you will realise it has some functionality like iOS. Camera is good and battery backup is very good. Speed is good and quality of display is good.I am writing this review after using it from last 5 days and I didn't see any lack of performance or any issue in this phone.I was using Xiaomi's phine from last 6 years but finally I bought this and I am very happy with this phone,bhupinder sharma,One of the best android phone I have ever experienced
155,4.0 out of 5 stars,1 Camera is ok for this price.2 Best in segment3 Charging Very fast4 Long Battery life5 Display size is bit small6 Sometime mobile is heating when you talk with someone.7 Sometimes chrome browser is automatically stopped working .Overall it's a good phone in 27900.,Rajkiran,Value Of Money
156,2.0 out of 5 stars,Want to try one plus from few years but after getting this disappointed lot.Pros : Nothing found as of now.Cons:*Fast draining of battery*It's good for left handed persons as volume and next buttons are on left for android phone users it's bit unneasy*When you are holding phone it takes screen shot as your fingers touches volume down button and off botton.*Selfie camera not at all good*Average back camera not so good*When call coming it takes few seconds to display name and contact number.*Speaker soudn is not so loudList goes on ...,Kiran Kumar,Worst phone ever bought in last seven years...my advice go for other phones
157,5.0 out of 5 stars,"This phone isn't for someone who doesn't care about user experience. If you want the 1+ experience you have to pay the big bucks. This phone is for someone who wanted a OnePlus device but couldn't afford one.Pros:The UI (reason we love 1+) is fast, simple and stockish. Oxygen OS has become my favourite OS.In hand feel is amazing. It is so light weight and thin. That blue colour is amazing. I upgraded to the 8GB variant just for that blue colour.The display is A+. Very fluid 90Hz, no stutters or frame drops.Battery life is above average. Would easily get you through a day. Fast charging also works great.Cons:The camera is not exceptional for this price range, but I think software updates could make it better. Or try Gcam.No alert Slider😞The glass protection and water resistance is a question mark.Only 1 5G band.I love the UI and for that I would forgive a lot of the cutbacks made in this device. If the user experience is your first priority, then go for it. You won't regret. But if it doesn't matter to you, there are cheaper phones with same or even better specs.",J,OnePlus experience at a low price.
158,5.0 out of 5 stars,"Best buy ...... Battery alive for 3 days without charging for minimal usage (calks, text, WhatsApp & You tube videos) -Fast charger is Awesome 10 to 100% charge in 30 minPhotos quality is good in combination with Screen resolution.Overall a Best buy at the price",Ravi,Review after using for 2 Weeks
159,1.0 out of 5 stars,"This phone is not that good to meet brand name... pathetic camera... Very slow processor... Taking long time to delete pics and other things..... I was not expecting this from one plus at least, I over choosed one plus this phone over others and very disappointing.... No auto call recording, phon gets slow while using multiple apps... Not sure if there is any anti-virus inbuilt in the phone.... Sometimes gets completely stuck and frustrating.. I would advise to get an update for this new phone from one plus and get it betterCamera is also not good.... You can not take selfie in dark.. I was using honor 9N which have this function to click selfie in nigh and dark as screen it self produce that much light to take selfie.... I very disappointing",Varun,Not as expected from one plus
160,1.0 out of 5 stars,"phone got jammed. no app or feature is responding. such a frustrating behaviour. i want to return it , but cleverly they have not given any option for return, rather replacement by the same model has been given. what's the guarantee the new phone of same model will not show such awkward behaviour ?? its a cheating. i wasted my hard earned INR25K .",Amazon Customer,phone got jammed
161,3.0 out of 5 stars,"Please buy this product only if you wish to have a phone under the brand name of ""One plus"" or else it's not worth it. The camera are not good at all it's below average and front camera is just pathetic. However having a phone of 8gb ram and 128 gb storage is not that bad at this price that too under brand name of ONE PLUS but please don't expect much out of it. Apart from this the fingerprint sensor is just pathetic.it never works when you try to unlock an application using fingerprint",Kumar Satyam,Not worth it
162,3.0 out of 5 stars,Pros-1. Overall Smooth Operation (90Hz display + Fluid Amoled🔥)2. Battery life is Good and 30Watt charger works properly ( within 1hr full charge)3. Network Aggregation is Best4. In hand feel is Good5. For Moderate gaming it is best6. No heatingCons-1. Editing takes little bit more time2.Fingerprint scanner for phone unlock works fast but little bit lagging in case of app unlocking3.selfie camera in low light just disaster and Overall camera performance is low,Amazon Customer,If you are purchasing OnePlus for first time then you can....
163,3.0 out of 5 stars,"It is a major upgrade for me from my last phone so I really liked it.-Good build-quality and design, feels premium-Light-weight and easy-to-use-Amazing display-Amazing OS-Average camera: clicks decent photos in good lighting condition (low light performance could be better)-Selfie camera needs improvements in low lighting. Also the position of the camera is a bit weird so I have to hold phone a bit tilted to get my face in the middle of the screen-Video stabilization is not up to the mark. I wish they included OIS.-no stereo speakers but okay for me as I always use earphones, still sound quality is not too bad.But one thing that really bothered me is that selfie camera is giving really bad picture quality during video calls through WhatsApp and other similar apps. That is why I am taking away 2 stars. I hope that OnePlus fixes this issue soon enough.Overall, it is a good phone. If speed, battery, smooth performance is your preference, then go ahead. If you are looking for really amazing camera, I suggest you find something else.",Aamir,good one but could be better
164,4.0 out of 5 stars,The phone performance is good so far. The camera is good. Only thing is felt was the quality of the screen guard they provided with the phone. It was of very poor quality. The delivery was prompt. They delivered within 24 hrs.  The case they provided with phone is very good.,Amazon Customer,The phone is awesome.
165,4.0 out of 5 stars,"For an average user who needs a phone for calling, social media and watching videos, this phone is will do the job for you. Camera could have been better. But the ease of using Oxygen software makes up for it.So far so good.",Sarabjit Singh,Decent phone
166,1.0 out of 5 stars,"1. When I took the main phone package, the outside lamination was done using poor polyethene cover, was very thin and easily tear-able.  Original packing will have a really sturdy lamination.2. Phone was full of dust , like on screen and back.3. Phone had a screen guard (!!) with air bubbles.4. Charger was full of dust5. Charger had dirty stains here and there.Cheap tactics amazon, cheap tactics",Hariah K.,Received used phone
167,4.0 out of 5 stars,"People are comparing it with Nord OG which is not fair, every device ha sits own pros and cons.. 1. Yes it has a bug which will be fixed by an update, but it's AI algorithm, it's making photos little bit sharp may be it will also be fixed.2. It has a fair built quality which is not cheap.3. It is completely bloatware free OS. Buy it if you like fluid experience of one plus or android one experience.4. If you want a balanced phone where you are not playing so much hard games, not recording videos, it's just for the day to day use.. then go for it.",Anurag sachdeva,A balanced phone
168,5.0 out of 5 stars,"I don't know why these many bad reviews ..may be they are from iqoo z3 promoters 🤣...this device is simply superb , awesome user experience , great display , superb audio output even though it doesn't support Dolby Atmos, great camera , I like everything from this beast , just go for it.",JÀYÁÑTH PÀTÑÁÎk,Great budget mobile from OnePlus
169,1.0 out of 5 stars,"Ordered 8gb/128 for 24999 in which i got 500 cashback that is oretty good.So lets come to the review if mine ,Built quality is great , Battery of 4500 is enough to use ur phone which is great , oxygen os is always i heard its so good to operate. Main camera come to this point i heard a lack of noise in image processing is so poor , that when you click in sunlight its makes pixels burst the main reason is No OIS in the one plus brand.  Ultrawide angle camera is good i can say , but we cannot take photos as always in ultrawide , the main camera such a pathetic when you focus on ur face after get clicked results are so poor that make ur face all black nd pixels burst.. No doubt selfie camera is caputuring good image but as we all know its a one plus brand so didnt expect this from the Brand.  I switched to one plus after ages nd now already returner it no more needed this Nord CE.. Attaching some night pictures as you can imagine in low light it makes quality so cheap .. Main camera image is first one and second is from ultrawide.",Karan,Not worth it
170,1.0 out of 5 stars,"I just ordered this phone on 20 June and delivered the same on very next day on 21st June.After 10 hours of use display gone,fingerprint sensor not working ,display not working.Then I just raise a request for replacement of the product.After 2 days of request delivery boy came and said that he'll replace the product only after IMEI verification of the phone ,I said him that I have replace this product due to display is not working so how can I able to verify this IMEI no.Delivery boy said he have received the information from his supervisor to replace the product only after verification of IMEI.Totally horrible experience...I have ordered this phone because my existing phone was getting hang / not working sometime.And after spending 25 k I am facing these type of harassment.",Hemant negi,Phone got dead within 10 hours.
171,1.0 out of 5 stars,"I had been waiting to buy a new phone from quite some time and it's sad to see all those efforts wasted. The time spent on seeing unboxings, reviews and opinions. In short, this is not the phone I was looking for.Pros:1. Overhyped OxygenOS.2. Battery (slow drain, quick charge)3. No ads (only Netflix app and few OnePlus apps)4. Earphone jack audio (seriously we have to praise the companies now for getting just the basics right)5. Call quality.6. Good RAM management7. Good form factor and lightweight.Cons:1. CAMERA- Tap to focus is a joke on this device. Sharpening is less than bare minimum. Basically the photo output is not smooth like few phones out there but actually bad, low quality, especially from the front camera. Front camera doesn't even have pinch to zoom. Using rear camera, when you look at the photo you're clicking in viewfinder you will get a feel that the photo is going to look good. When you click it and see the pic you find the photo is blurry. This device needs additional 2-3 seconds time after shutter sound comes to click a normal image. Even after doing it when you open the photo you see immediately that it's probably a good photo but in just 2 seconds background processing changes the image, makes details and sharpening go away and terrible white balancing occurs. This is the case of highly promoted 64MP sensor. Now ultrawide actually needs an ultrasound to figure what's wrong with it. Frankly if you open ultrawide camera in artificial lighting, it'll look like a VGA camera on keypad phones we used to have earlier.Not even remotely expecting OnePlus cameras to challenge the might of Pixel series, but a decent package of a phone should have had a decent camera, no?Camera doesn't need optimization, but a complete overhaul. People at OnePlus need to sit down and think where they went wrong.2. Wifi connectivity is very problematic, for multiple times a day it'll lose connection and show no internet access. If you check with another phone, speed will be normal.2. Some framedrops here and there.3. Caller was not showing incoming call, just ringtone. Phone app needed cache and storage clearing to get it to work.4. OS is not managing the corner content, not sure if it is limited to this device but can be checked by going to fast.com and seeing whether ""Powered by Netflix"" is clearly visible or not in bottom corner.5.Seamlessness in WhatsApp, sharing photo and attaching a GIF in the same photo as caption doesn't seem to work and takes us back to WhatsApp home screen.6. Lack of feature is not really a con but stereo speakers and expandable storage would have been welcome.7. You will get not-value for money vibes from this device several times a day.I really wish Amazon had return policy still functioning with phones.OnePlus promoted this phone as : ""A little more than you expect."" Well I expected a less troubling phone.",Anshuman,Save your money do not buy out of hype.
172,3.0 out of 5 stars,Spending 25k for a phone that is just like realme 7 .. not amazing camera just like mi note series and performance... No Corning Gorilla glass cheap back plastic... Fingerprint scanner is slow..,Shailendra Yadav,Don't spend 25k for this...
173,4.0 out of 5 stars,"The product is good in terms of OS, fingerprint sensor, Screen resolution. With the 8 GB RAM, all high res. games are working fine without any glitch. BUT IN TERMS OF PICTURE QUALITY, IT COULD HAVE BEEN BETTER. Despite 64 MP, the pictures looks distorted and pixel break even on minor zoom.",Amit Gupta,Impressive but Camera quality could be better
174,4.0 out of 5 stars,"Mine one is void blue 12gb ram 256gb internal, well let me cover the upper review first. This is a 12gb variant so its ovious battery will drain fast plus with the refresh rate of 90hz its expected to drain. With the software update my phone is charging up fast as its mentioned . Now coming to the overall view of the phone.ProsSlim&lightFast chargingDecent camera for the price range.Processor is fastConsI didn't find any as of now.Giving one star less coz of rude behaviour of the delivery guy, as he was not wearing mask and even had a very bad tone of talking . I kept calling him for some 30 times and he disconnected my call everytime.",nishat,Happy i didn't got defected product like other.
175,5.0 out of 5 stars,"After using for a week my views are as follows-Yes it is a polycarbonate back but it feels super premium, at least in my case of blue void colour and I guess 80-90% of us use phone with cover so glass or polycarbonate doesn’t matter much.Charging is very fast as said. You might feel battery drop in first 1/2 charging but after that it goes smooth.Mobile cover provided is of very good quality and fits tight.Camera quality is good I have posted some photos herewith, yes some may feel minor issues in optimisation, but it might surely go after update.Slider is missing which was became a mark of one plus, but I personally don't bother about it as I don't know how frequently I was going to use it.",Pratham y,Very good Quality and build go for it
176,5.0 out of 5 stars,Great phone.It look attractive in hand. Everyone ask about phone. I'm not heavy gamer so I set 60hz refresh rate. I spent most time on youtube (7-8hrs/day). With this my phone battery runs 1.5 day..Camera is great in day light. But in low light its just normal.It took 25-30 min to charge from 30% to 100%No heating issue. No hanging issue. Phone is smooth as butter.Finger print reader not much impressive but face unlock is great.Overall phone is great.Performance - 5/5Camera- 4/5Battery- 5/5Display 4.5/5Charging speed- 5/5I don't know why youtubers gave -ve reviews to this phone. I'm using this phone from last 6 days. And I'm happy with this.,Dks,Fabulous device🔥🔥
177,2.0 out of 5 stars,"Moving to 50-60k phones, one plus is trying to fool ppl by selling low configuration phones on the name of brand, exploiting good will and trust ppl have shown in past...OR it seems One Plus forgot how to build a One Plus phoneThey have compromised with everything, assuming 25k is a small amount..Other than UI & slim body, I can say everything is compromisedCompare to 4.5 year old Moto g5 phone, it has- poor camera- poor build quality (plastic)- slow fingerprint sensorUntimately we had to return as the sim was not working!",Piyush Gupta,It's not the one plus..one plus is exploiting brand value
178,5.0 out of 5 stars,"It's a Good Overall phone with Excellent in Hand feel as it's slim and light weight and packs a good 4500 mah battery which gives pretty amazing battery life and 30w wrap charging is just blazing fast needless to say. 😁Display size is perfect ...you can use it with one hand ✋The Amoled screen with 90hz refresh rate is awesome ☺️Screen is  very smooth and well optimised. 😋😋Speakers are pretty loud and earpiece is very loud and clear even at 50-60% volume.😻😻Network and wifi quality is also very good.🦾Cameras are just awesome ☺️ Both the cameras ( front & back) click photos with immense clearity 🌛🌜Even in night they click decent photos.😎Processor is excellent and 5G ready , so that's a plus point. 🤗",Imran,Awesome phone in this Segment 🥳
179,4.0 out of 5 stars,Overall performance is good.. battery charges quickly.. no heating issues so far.. I didnt get a chance to use the camera well but  initial usuage seems to b good.. may b expert photographers will share a better review.. gave a 4 rating bcz its been only 2 days of usage and it is doing a very good job for 25 k..will share further pros and cons if any.. plzz expect,Shridhar,Very good phone
180,1.0 out of 5 stars,"I have been using many of the OnePlus mobile's now , that's the reason I took the mobile without a doubt but the mobile is waste of money . The camera is so pathetic. Even the mobiles which cost less than 8k take good pictures and ofcourse the quality of the front camera is even worse . So if you are a person who use it for video calling or taking pictures this mobile is definitely not for you. Despite its a new mobile it heats up a lot. Over all its the worst mobile one plus has ever manufactured",ASIF,WORST MOBILE FROM ONE PLUS
181,4.0 out of 5 stars,"it's been 3-4 days, I am using it for normal purposes, didn't went for gaming till now, everything seems to be fine,The screen is good, the fingerprint sensor is good, the phone gives a premium feel,The only thing Oneplus Nord CE 5G lacks is its Camera. it is a Camera which is giving equivalent images to my earlier phone Honor Play.The camera should've been better on this, rest is good.",Umashankar kashyap,Most important is a normal Camera system
182,1.0 out of 5 stars,"Not as per exepctions. 8 am writing this review within just 24 hours.One plus nord 8s not at all one plus group phone.Touch not so smoothNo full screen enjoymentNo call recording option to all calls(call recording option is there 8n phone, but every time u hv to enable it only after connecting the call & every time opposite person got clear cut msg that we r recording his call bcoz loude sound come like  this call is recording nw. This was not there of all other one plus phones.If u r looking low budget phones with good quality don't buy this phone",Amol N Chawathe,Useless phone from One plus
183,4.0 out of 5 stars,Best mid range phone available in the market...must not compared with any premium range. Very useful for day to day official purpose or educational purposes...for gaming purpose..ok type...my experience with this phone...Pros...Very good battery life...have watched 8/9 hrs Netflix or utube but no battery drain easily.Very fast charging..Superfast usage..opens 45 apps in background and can easily make video calling continuously...Rear camera awesome...Minimum pre installed app...Awesome display...One plus is always famous for it's long run usage...seems to be no exception for this mid range ph also.Cons..Aweful selfie camera...very poor performance...selfie camera of 10k mobiles have better performance.Canvus mode is not working...Overall very good experience... Don't think...just go for it..👍,S.S.K,Best mid range phone though aweful selfie
184,1.0 out of 5 stars,"Please do not buy this phone. The quality of this phone is very low. They did a lot of cost cutting by reducing the quality and the speakers where soooo bad . I am a regular OnePlus user(I have OnePlus 3t,5 and 7) I bought OnePlus nord ce for my mom but when I touched the phone I knew This new OnePlus is not what it was before.. if u are looking for a phone under this price range better buy redmi Note 10 pro max for all rounder or poco X3 pro for gaming in this budget range (20-25k). I myself waiting for realme gt( flagship killer 2021) which is for 32-35k rs. Please stay away from OnePlus!!!! They are not in their right senses after Carl pei(co founder of OnePlus) left",Amazon Customer,Not the OnePlus we know
185,3.0 out of 5 stars,A worst choice- poor camera and Battery.Battery:They promised 70% charge but happens only on first two days. Later 30%in 30 minutes.Camera: PatheticYou need to give a still to capture good picture otherwise you will see only blur pics with low quality of contrast. Video capture is still fine but not upto mark.Display: AnnoyingLight on the display is auto adjusted. It goes dark and it goes bright on its own irrespective whether you need it or not. It really annoys you and pisses off.Buying this product will be a wrong choice in this price range.,venu gannem,A wrong choice to buy oneplusNord CE5g
186,4.0 out of 5 stars,"Your browser does not support HTML5 video.


   This product is really good for purchasing under 25k cam quality is too good, you must by this product.",Arjun mandal,Worth it
187,2.0 out of 5 stars,"This was my first Onplus phone, but very disappointed by Oneplus. Total waste of money. This has got the worst camera and worst sound quality ever in any smartphone. I never knew Oneplus will be so cheap. Don’t waste your money buying this, you get better phone then this Oneplus Nord Cheap Edition. No more Oneplus. Thanks🙏The only good thing about this phone is that it looks good and has a decent software. But rest whatever you are looking from a smartphone terribly lacks in this phone.",Jaideep,Cheap Edition by Oneplus - Worst phone ever
188,4.0 out of 5 stars,The best part of this phone is oxygen os and that is the selling point of this phone.Pros:Good performanceBest oxygen osGreat displayFast chargingCons:Average camera but it does the job wellLooks like battery drops fastNo alert sliderNo OISNo stereo speakersConclusion: if you are looking for clean and fast UI in this price then definately go for it.,Junaid,Best mid ranger phone under 25k
189,4.0 out of 5 stars,"Overall good with camera quality, light weighted and chargimg is superb.Worth to buy in 22k",Vaibhav Gawande,Best product to buy nord ce 5g
